Emoji,Empty,sadness,Enthusiasm,Neutral,worry,Surprise,Love,Fun,Happiness,hate,Relief,boredom,anger,
😃,0,0,0.2,0,0,0.1,0,0.8,1,0,0.6,0,0,
🙂,0.2,0.1,0,0.4,0,0,0,0.5,0.5,0,0.1,0,0,
😁,0,0,0.4,0,0,0,0,0.7,0.9,0,0.2,0,0,
😆,0,0,1,0,0,0.2,0.4,0.9,1,0,0,0,0,
😅,0,0,0,0,0.5,0,0,0.4,0.4,0,0,0,0,
🤣,0,0,1,0,0,1,0,1,1,0,0.3,0,0,
😂,0,0,0.7,0,0,0.2,0.6,0.7,0.8,0,0,0,0,
😊,0,0,0,0,0,0,0.2,0.4,0.7,0,0.4,0,0,
🥰,0,0,0,0,0,0,1,0.3,0.7,0,0,0,0,
😍,0,0,0,0,0,0,1,0,0,0,0,0,0,
🤩,0,0,0.7,0,0,0.4,0.6,0.4,0.6,0,0,0,0,
😚,0,0,0,0,0,0,0.9,0,0,0,0,0,0,
😗,0,0,0,0,0,0,0.4,0.6,0.3,0,0,0,0,
🤪,0,0,0,0,0,0,0,0.8,0.7,0,0,0,0,
😛,0,0,0.1,0,0,0,0,0.6,0.7,0,0,0,0,
😝,0,0,0.3,0,0,0,0,0.8,0.8,0,0,0,0,
😕,0.3,0.7,0,0,0.6,0,0,0,0,0.3,0,0.3,0,
😟,0,0.5,0,0,1,0.4,0,0,0,0.3,0,0.3,0,
😔,0.5,1,0,0.5,0.7,0,0,0,0,0.4,0,0.4,0,
😲,0,0.2,0,0,0.2,0.8,0,0,0,0,0,0,0,
😧,0,0.7,0,0,0.5,0.5,0,0,0,0,0,0.2,0,
😞,0,0.5,0,0.3,0.5,0,0,0,0,0.5,0,0.4,0,
😣,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,
😪,0,0.6,0,0,0.5,0,0,0,0,0,0,0.9,0,
😴,0,0.1,0,0,0.3,0,0,0,0,0,0,1,0,
🥱,0,0.1,0,0,0.4,0,0,0,0,0,0,0.8,0,
🤒,0,0.6,0,0,0.9,0,0,0,0,0.2,0,0.6,0,
🤕,0.4,0.6,0,0,0.8,0,0,0,0,0,0,0.6,0,
🤢,0,0,0,0,0.4,0,0,0,0,0.8,0,0.4,0,
🤮,0,0.2,0,0,0,0,0,0,0,0.9,0,0.6,0,
🥴,0,0.2,0,0,0.4,0,0,0,0,0,0,0.8,0,
🤧,0,0.6,0,0,0.6,0,0,0,0,0,0.2,0.5,0,
😤,0,0.2,0,0,0,0,0,0,0,1.0,0,0,1,
😵‍,0,0,0,0,0.2,0.4,0,0,0,0,0,0,0,
👿,0,0.4,0,0,0,0,0,0,0,0.7,0,0,1,
😠,0,0.2,0,0,0,0,0,0,0,1,0,0,1,
‍🤗,0,0,0.2,0,0,0,0.6,0.4,0.8,0,0,0,0,
🤭,0,0,0,0,0,0.2,0,0.8,0.6,0,0,0,0,
🤫,0,0,0,0,0.6,0,0,0.4,0,0,0,0,0,
🤬,0,0,0,0,0,0,0,0,0,0,0,0,1,
